ID,Age,Category,Day,gender,tripduration
244,1940 - 1944,2,20,1,590.19047619
245,1940 - 1944,2,20,2,676.578947368
246,1940 - 1944,2,21,0,0.0
247,1940 - 1944,2,21,1,252.0
248,1940 - 1944,2,21,2,0.0
249,1940 - 1944,2,22,0,178.0
250,1940 - 1944,2,22,1,562.720588235
251,1940 - 1944,2,22,2,751.444444444
252,1940 - 1944,2,23,0,350.0
253,1940 - 1944,2,23,1,656.681818182
254,1940 - 1944,2,23,2,798.375
255,1940 - 1944,2,24,0,221.0
256,1940 - 1944,2,24,1,621.797468354
257,1940 - 1944,2,24,2,619.272727273
258,1940 - 1944,2,25,0,0.0
259,1940 - 1944,2,25,1,666.409836066
260,1940 - 1944,2,25,2,611.272727273
261,1940 - 1944,2,26,0,212.0
262,1940 - 1944,2,26,1,622.552941176
263,1940 - 1944,2,26,2,665.952380952
264,1940 - 1944,2,27,0,0.0
265,1940 - 1944,2,27,1,675.309859155
266,1940 - 1944,2,27,2,756.2
267,1940 - 1944,2,28,0,1107.0
268,1940 - 1944,2,28,1,765.409638554
269,1940 - 1944,2,28,2,1109.25
270,1940 - 1944,2,29,0,185.0
271,1940 - 1944,2,29,1,609.269565217
272,1940 - 1944,2,29,2,836.80952381
273,1940 - 1944,2,30,0,0.0
274,1940 - 1944,2,30,1,1522.5125
275,1940 - 1944,2,30,2,738.814814815
276,1940 - 1944,2,31,0,507.0
277,1940 - 1944,2,31,1,649.7125
278,1940 - 1944,2,31,2,560.8125
279,1945 - 1949,3,01,0,546.5
280,1945 - 1949,3,01,1,674.887719298
281,1945 - 1949,3,01,2,617.483870968
282,1945 - 1949,3,02,0,375.5
283,1945 - 1949,3,02,1,710.294117647
284,1945 - 1949,3,02,2,836.666666667
285,1945 - 1949,3,03,0,355.75
286,1945 - 1949,3,03,1,737.456140351
287,1945 - 1949,3,03,2,700.540540541
288,1945 - 1949,3,04,0,365.0
289,1945 - 1949,3,04,1,780.592814371
290,1945 - 1949,3,04,2,740.151515152
291,1945 - 1949,3,05,0,326.25
292,1945 - 1949,3,05,1,645.340248963
293,1945 - 1949,3,05,2,896.175438596
294,1945 - 1949,3,06,0,373.0
295,1945 - 1949,3,06,1,740.126865672
296,1945 - 1949,3,06,2,775.926470588
297,1945 - 1949,3,07,0,0.0
298,1945 - 1949,3,07,1,633.926829268
299,1945 - 1949,3,07,2,602.933333333
300,1945 - 1949,3,08,0,615.0
301,1945 - 1949,3,08,1,633.848837209
302,1945 - 1949,3,08,2,506.875
303,1945 - 1949,3,09,0,905.666666667
304,1945 - 1949,3,09,1,767.43
305,1945 - 1949,3,09,2,665.413793103
306,1945 - 1949,3,10,0,991.0
307,1945 - 1949,3,10,1,723.223140496
308,1945 - 1949,3,10,2,791.975609756
309,1945 - 1949,3,11,0,372.0
310,1945 - 1949,3,11,1,753.926380368
311,1945 - 1949,3,11,2,942.256410256
312,1945 - 1949,3,12,0,488.25
313,1945 - 1949,3,12,1,1145.80660377
314,1945 - 1949,3,12,2,697.142857143
315,1945 - 1949,3,13,0,400.0
316,1945 - 1949,3,13,1,644.6875
317,1945 - 1949,3,13,2,652.256410256
318,1945 - 1949,3,14,0,299.0
319,1945 - 1949,3,14,1,715.712820513
320,1945 - 1949,3,14,2,849.066666667
321,1945 - 1949,3,15,0,713.666666667
322,1945 - 1949,3,15,1,669.453658537
323,1945 - 1949,3,15,2,1012.67241379
324,1945 - 1949,3,16,0,191.0
325,1945 - 1949,3,16,1,738.825806452
326,1945 - 1949,3,16,2,598.288888889
327,1945 - 1949,3,17,0,0.0
328,1945 - 1949,3,17,1,790.324675325
329,1945 - 1949,3,17,2,928.0
330,1945 - 1949,3,18,0,0.0
331,1945 - 1949,3,18,1,795.25
332,1945 - 1949,3,18,2,1044.14705882
333,1945 - 1949,3,19,0,403.333333333
334,1945 - 1949,3,19,1,1535.37651822
335,1945 - 1949,3,19,2,782.588235294
336,1945 - 1949,3,20,0,553.0
337,1945 - 1949,3,20,1,708.145539906
338,1945 - 1949,3,20,2,862.457142857
339,1945 - 1949,3,21,0,0.0
340,1945 - 1949,3,21,1,716.16
341,1945 - 1949,3,21,2,367.8
342,1945 - 1949,3,22,0,629.75
343,1945 - 1949,3,22,1,701.754491018
344,1945 - 1949,3,22,2,753.322580645
345,1945 - 1949,3,23,0,280.0
346,1945 - 1949,3,23,1,734.134529148
347,1945 - 1949,3,23,2,897.45
348,1945 - 1949,3,24,0,1073.0
349,1945 - 1949,3,24,1,812.547263682
350,1945 - 1949,3,24,2,744.720930233
351,1945 - 1949,3,25,0,545.666666667
352,1945 - 1949,3,25,1,704.285714286
353,1945 - 1949,3,25,2,732.692307692
354,1945 - 1949,3,26,0,722.2
355,1945 - 1949,3,26,1,745.671875
356,1945 - 1949,3,26,2,949.090909091
357,1945 - 1949,3,27,0,382.0
358,1945 - 1949,3,27,1,728.688073394
359,1945 - 1949,3,27,2,1258.62162162
360,1945 - 1949,3,28,0,1132.0
361,1945 - 1949,3,28,1,683.87732342
362,1945 - 1949,3,28,2,842.237288136
363,1945 - 1949,3,29,0,0.0
364,1945 - 1949,3,29,1,736.756521739
365,1945 - 1949,3,29,2,661.769230769
366,1945 - 1949,3,30,0,0.0
367,1945 - 1949,3,30,1,740.546391753
368,1945 - 1949,3,30,2,771.354166667
369,1945 - 1949,3,31,0,0.0
370,1945 - 1949,3,31,1,865.786127168
371,1945 - 1949,3,31,2,907.657894737
372,1950 - 1954,4,01,0,644.0
373,1950 - 1954,4,01,1,772.556338028
374,1950 - 1954,4,01,2,814.451282051
375,1950 - 1954,4,02,0,0.0
376,1950 - 1954,4,02,1,592.129411765
377,1950 - 1954,4,02,2,864.72727273
378,1950 - 1954,4,03,0,0.0
379,1950 - 1954,4,03,1,2191.18899522
380,1950 - 1954,4,03,2,759.7890625
381,1950 - 1954,4,04,0,0.0
382,1950 - 1954,4,04,1,775.068965517
383,1950 - 1954,4,04,2,711.879120879
384,1950 - 1954,4,05,0,127.0
385,1950 - 1954,4,05,1,703.175767918
386,1950 - 1954,4,05,2,668.357575758
387,1950 - 1954,4,06,0,795.333333333
388,1950 - 1954,4,06,1,711.44015444
389,1950 - 1954,4,06,2,728.418848168
390,1950 - 1954,4,07,0,0.0
391,1950 - 1954,4,07,1,755.992248062
392,1950 - 1954,4,07,2,654.115384615
393,1950 - 1954,4,08,0,339.0
394,1950 - 1954,4,08,1,715.737739872
395,1950 - 1954,4,08,2,701.712871287
396,1950 - 1954,4,09,0,755.0
397,1950 - 1954,4,09,1,882.710431655
398,1950 - 1954,4,09,2,747.784172662
399,1950 - 1954,4,10,0,0.0
400,1950 - 1954,4,10,1,697.965968586
401,1950 - 1954,4,10,2,735.527131783
402,1950 - 1954,4,11,0,0.0
403,1950 - 1954,4,11,1,806.856435644
404,1950 - 1954,4,11,2,810.037593985
405,1950 - 1954,4,12,0,0.0
406,1950 - 1954,4,12,1,822.257001647
407,1950 - 1954,4,12,2,706.765100671
408,1950 - 1954,4,13,0,744.25
409,1950 - 1954,4,13,1,874.373096447
410,1950 - 1954,4,13,2,659.609756098
411,1950 - 1954,4,14,0,0.0
412,1950 - 1954,4,14,1,678.791530945
413,1950 - 1954,4,14,2,701.277108434
414,1950 - 1954,4,15,0,728.0
415,1950 - 1954,4,15,1,707.584126984
416,1950 - 1954,4,15,2,818.072289157
417,1950 - 1954,4,16,0,711.0
418,1950 - 1954,4,16,1,672.345360825
419,1950 - 1954,4,16,2,670.4296875
420,1950 - 1954,4,17,0,0.0
421,1950 - 1954,4,17,1,785.686893204
422,1950 - 1954,4,17,2,665.633136095
423,1950 - 1954,4,18,0,0.0
424,1950 - 1954,4,18,1,708.990074442
425,1950 - 1954,4,18,2,661.780952381
426,1950 - 1954,4,19,0,0.0
427,1950 - 1954,4,19,1,722.826356589
428,1950 - 1954,4,19,2,780.130718954
429,1950 - 1954,4,20,0,320.5
430,1950 - 1954,4,20,1,672.780757098
431,1950 - 1954,4,20,2,763.140740741
432,1950 - 1954,4,21,0,0.0
433,1950 - 1954,4,21,1,721.107692308
434,1950 - 1954,4,21,2,658.6
435,1950 - 1954,4,22,0,0.0
436,1950 - 1954,4,22,1,723.128479657
437,1950 - 1954,4,22,2,736.714285714
438,1950 - 1954,4,23,0,933.0
439,1950 - 1954,4,23,1,833.781155015
440,1950 - 1954,4,23,2,648.132183908
441,1950 - 1954,4,24,0,309.0
442,1950 - 1954,4,24,1,743.551515152
443,1950 - 1954,4,24,2,849.798742138
444,1950 - 1954,4,25,0,0.0
445,1950 - 1954,4,25,1,716.517647059
446,1950 - 1954,4,25,2,665.746153846
447,1950 - 1954,4,26,0,0.0
448,1950 - 1954,4,26,1,731.175695461
449,1950 - 1954,4,26,2,762.596685083
